Score,QuestionId,AcceptedAnswerId,CreationDate
32,4798,35917,2009-07-13T17:22:39.820
32,12918,12926,2009-08-06T17:31:14.970
32,21462,21464,2009-09-12T01:28:13.830
32,23955,23964,2009-09-30T05:12:25.580
32,29262,67747,2009-11-10T17:59:42.860
32,36371,36867,2010-01-20T19:30:38.020
32,37096,37100,2010-01-27T00:05:16.160
32,44173,45331,2010-03-26T18:45:08.250
32,54681,55688,2010-06-23T03:48:37.267
31,96,155,2009-06-28T11:56:32.803
31,700,714,2009-06-29T16:24:49.407
31,20849,20910,2009-09-08T15:38:25.730
31,24945,25142,2009-10-07T20:18:35.077
31,26731,54291,2009-10-21T10:16:13.917
31,32937,32953,2009-12-14T21:34:34.493
31,49424,50696,2010-05-10T13:06:06.097
30,3912,3921,2009-07-09T15:22:17.807
30,5234,5235,2008-11-11T04:25:46.300
30,15540,15572,2009-08-19T19:32:10.847
30,15839,15843,2008-09-14T18:40:50.170
30,17910,18008,2009-08-26T18:39:57.150
30,22080,22148,2009-09-15T22:05:31.653
30,23959,23962,2009-09-30T05:30:22.130
30,24490,24498,2009-10-03T22:20:22.817
30,25598,25601,2009-10-12T14:48:00.187
30,28984,28999,2009-11-07T23:08:42.073
30,33376,33384,2009-04-12T00:53:12.500
30,34725,50059,2010-01-06T20:36:12.637
30,39490,39826,2010-02-15T09:07:56.340
30,51469,51472,2010-05-27T18:35:06.520
30,51627,60015,2010-05-28T18:59:35.883
30,56712,56723,2010-07-12T09:44:28.377
30,59564,59566,2010-08-04T12:25:36.890
30,62853,62855,2010-08-31T00:05:14.103
29,686,694,2009-06-29T15:45:50.327
29,7020,32073,2009-07-19T01:08:40.027
29,12766,13600,2009-08-06T06:18:01.573
29,16213,16216,2008-10-25T19:35:06.583
29,59084,59133,2010-07-30T11:56:04.960
29,67875,67881,2010-10-16T22:24:39.537
28,197,201,2009-06-28T14:38:59.263
28,13976,14769,2009-08-12T15:18:45.000
28,29986,38904,2009-11-16T22:03:21.773
28,32509,32846,2009-12-10T02:24:33.613
28,33709,33726,2009-12-23T05:32:08.897
28,34799,37047,2010-01-07T17:45:39.053
28,36052,36055,2010-01-18T06:13:41.307
28,37758,37761,2010-02-01T07:07:56.173
28,44618,45367,2010-03-31T01:27:26.430
28,46433,46490,2010-04-13T07:33:15.557
28,52141,54524,2010-06-02T12:39:33.447
28,52725,66179,2010-06-06T18:01:52.227
28,59910,60657,2010-08-06T09:32:23.900
27,18360,18373,2009-08-28T01:47:01.820
27,20683,20684,2009-09-07T06:50:29.123
27,33245,33249,2009-12-17T17:02:39.660
27,35497,35550,2010-01-13T19:55:06.667
27,37825,37832,2010-02-01T18:34:41.617
27,42431,42452,2010-03-16T17:32:55.767
27,48249,48591,2010-04-29T13:17:29.673
27,67607,67723,2010-10-14T13:51:16.867
26,296,301,2009-06-28T18:07:14.067
26,5199,5203,2009-07-14T13:55:25.080
26,5933,5936,2009-07-16T00:26:13.480
26,12724,12725,2008-08-11T20:44:14.283
26,19808,19831,2009-09-02T22:23:32.577
26,24933,25033,2009-10-07T20:07:33.847
26,33459,53808,2009-12-19T22:06:30.713
26,34397,34398,2010-01-03T16:11:51.817
26,34432,34440,2010-01-04T01:58:10.737
26,35488,35542,2010-01-13T18:06:17.883
26,35970,36498,2010-01-16T22:28:50.417
26,36003,36010,2010-01-17T15:12:39.523
26,43911,48847,2010-03-25T03:43:15.380
26,44411,44420,2010-03-29T11:09:29.173
26,44484,44496,2010-03-29T22:54:20.280
26,53592,53682,2010-06-14T20:16:07.350
26,57497,59302,2010-07-17T04:50:56.610
25,504,553,2009-06-29T09:49:04.663
25,1577,28119,2009-07-01T19:10:19.100
25,4391,14562,2009-07-10T21:33:15.167
25,6752,62295,2009-07-17T21:50:50.917
25,9482,11794,2009-07-25T05:27:51.267
25,11580,11591,2009-08-01T09:15:57.113
25,17817,17823,2008-11-26T20:54:23.920
25,26192,26194,2009-10-16T14:46:01.117
25,28475,34884,2009-11-03T21:25:43.067
25,28882,28884,2009-11-06T18:21:38.003
25,42885,43418,2010-03-19T16:54:34.957
24,31,39,2009-06-28T09:52:12.213
24,943,10659,2009-06-30T02:39:02.427
24,1939,2049,2009-07-02T19:02:56.757
24,11576,11577,2009-08-01T06:35:36.143
24,12700,12757,2009-08-05T18:53:54.927
24,18573,18580,2008-08-20T22:59:23.020
24,19470,19473,2008-08-20T07:14:42.417
24,19874,19877,2009-09-03T08:59:51.307
24,21053,21057,2009-09-09T18:49:35.517
24,32705,32724,2009-12-11T16:20:58.620
24,37889,39185,2010-02-02T03:45:33.317
24,39827,39858,2010-02-18T17:30:37.713
24,40132,46661,2010-02-21T10:08:04.060
24,43019,43020,2010-03-20T13:59:30.503
24,43055,46562,2010-03-20T17:47:23.653
24,43621,43633,2010-03-23T00:28:54.297
24,46074,46122,2010-04-09T16:21:17.197
24,46799,47208,2010-04-15T23:18:25.283
24,50761,51096,2010-05-21T11:31:25.607
24,51136,51156,2010-05-25T15:40:46.313
24,58160,60290,2010-07-23T00:07:38.883
24,59760,59780,2010-08-05T12:06:00.020
24,60227,60254,2010-08-09T18:38:16.657
24,67879,67891,2010-10-17T01:16:05.187
23,1219,1220,2009-06-30T16:32:39.317
23,1359,2204,2009-07-01T01:06:50.283
23,1768,1952,2009-07-02T11:39:56.133
23,2167,8036,2009-07-03T13:48:04.540
23,4448,11873,2009-07-11T07:08:43.287
23,8891,8893,2009-07-24T08:00:42.417
23,9024,9025,2009-01-22T23:20:19.027
23,14581,27834,2009-08-14T21:19:16.453
23,15635,40229,2009-08-20T09:31:37.953
23,16250,16260,2009-01-05T15:44:46.523
23,40066,40129,2010-02-20T08:06:13.110
23,40853,40869,2010-03-01T23:13:48.627
23,42507,44526,2010-03-17T04:40:51.613
23,43274,43284,2010-03-22T00:02:07.037
23,43478,43485,2010-03-22T15:11:49.440
23,43703,43738,2010-03-23T19:06:26.000
23,49891,49894,2010-05-14T17:41:46.953
23,50530,50534,2010-05-19T20:46:59.867
23,50902,50918,2010-05-23T09:44:45.343
23,52662,52829,2010-06-05T20:18:02.287
22,85,58491,2009-06-28T11:31:29.417
22,198,1299,2009-06-28T14:39:03.867
22,1466,1467,2009-07-01T13:37:28.870
22,7954,7958,2009-07-21T21:58:55.887
22,10067,10070,2009-07-27T14:53:12.973
22,14056,42105,2008-09-17T18:44:12.963
22,15487,15488,2009-08-19T16:53:56.783
22,15535,15536,2009-08-19T18:43:27.607
22,16640,58803,2009-08-23T13:05:36.423
22,17624,17678,2009-08-26T09:19:59.607
22,18878,18879,2008-10-23T13:52:14.490
22,22640,22643,2009-09-18T19:01:48.280
22,24079,24085,2009-09-30T21:06:25.570
22,24242,24258,2009-10-01T21:18:24.560
22,26305,27313,2009-10-17T12:58:59.730
22,32299,32306,2009-12-08T15:41:47.323
22,34503,34508,2010-01-04T19:10:49.397
22,34928,38207,2010-01-08T16:26:12.980
22,40906,58355,2010-03-02T16:31:38.673
22,48417,48418,2010-04-30T16:58:37.077
22,50069,50106,2010-05-16T12:01:04.593
21,443,446,2009-06-29T03:00:09.170
21,481,527,2009-06-29T08:28:17.243
21,1418,1430,2009-07-01T07:45:09.077
21,1477,1481,2009-07-01T14:21:34.757
21,1714,1732,2009-07-02T07:11:26.997
21,6905,11358,2009-07-18T18:27:16.053
21,8945,8981,2008-12-10T19:02:29.070
21,26220,26252,2009-10-16T16:10:31.087
21,26560,26571,2009-10-20T07:55:53.053
21,31942,32098,2009-12-05T00:53:19.073
21,33184,33188,2009-12-16T22:24:08.860
21,34587,35141,2010-01-05T17:59:13.710
21,36209,36410,2010-01-19T15:57:38.160
21,38528,38531,2010-02-06T09:58:16.687
21,40895,41505,2010-03-02T15:16:15.070
21,45176,48195,2010-04-01T21:06:02.560
21,46445,52458,2010-04-13T11:35:12.433
21,52026,52035,2010-06-01T21:39:35.797
21,67088,67092,2010-10-09T10:18:54.603
20,3127,3312,2009-07-07T12:03:11.527
20,4283,4286,2009-07-10T16:38:43.903
20,7312,7315,2008-11-11T21:21:22.863
20,14470,14486,2009-08-14T13:32:47.363
20,15590,15605,2009-08-20T02:34:46.403
20,24976,24979,2009-10-07T21:46:43.190
20,25276,38910,2009-10-09T10:56:37.457
20,29040,29060,2009-11-08T21:53:08.203
20,32087,32164,2009-12-06T23:40:36.073
20,32789,32809,2009-12-12T21:11:51.820
20,35256,35262,2010-01-12T11:26:21.513
20,37130,40127,2010-01-27T04:57:30.137
20,39417,39419,2010-02-14T13:41:41.810
20,42591,43649,2010-03-17T22:32:13.620
20,43218,44121,2010-03-21T20:04:19.210
20,44011,44113,2010-03-25T17:11:00.970
20,44188,44189,2010-03-26T20:20:39.853
20,44717,44725,2010-03-31T17:01:24.537
20,48139,48236,2010-04-28T18:02:35.400
20,48629,48646,2010-05-03T19:17:12.850
20,50068,52121,2010-05-16T11:47:19.050
20,50262,50274,2010-05-18T00:49:29.770
20,59597,59599,2010-08-04T15:09:37.537
20,61804,61824,2010-08-21T14:20:31.600
20,64260,64274,2010-09-11T22:56:52.310
19,1041,1057,2009-06-30T11:45:31.677
19,3528,3534,2009-07-08T11:22:32.447
19,4608,50646,2009-07-12T19:02:19.910
19,4715,4721,2009-07-13T12:42:23.020
19,6193,6226,2009-07-16T17:10:31.717
19,11188,11190,2009-07-30T16:34:32.507
19,13592,13625,2009-08-10T23:52:23.723
19,13842,13882,2009-08-11T21:33:43.490
19,18454,18524,2009-08-28T12:57:19.003
19,21080,21086,2009-09-09T20:55:52.050
19,22336,33690,2009-09-17T04:48:55.583
19,24917,26664,2009-10-07T19:44:16.913
19,25055,34885,2009-10-08T06:52:45.310
19,29229,29294,2009-11-10T12:18:54.600
19,35722,35806,2010-01-15T10:58:52.910
19,38257,38405,2010-02-04T11:29:16.533
19,38919,38956,2010-02-10T13:31:23.033
19,44145,44154,2010-03-26T14:46:26.297
19,44458,44499,2010-03-29T18:58:07.330
19,46127,56231,2010-04-09T21:49:47.170
19,54329,54456,2010-06-19T17:16:25.643
19,57343,57366,2010-07-15T23:22:40.857
19,61121,61133,2010-08-15T21:07:13.780
19,61593,61999,2010-08-19T14:07:53.043
19,62224,62229,2010-08-25T10:43:19.420
19,67175,67179,2010-10-10T06:02:53.183
18,1242,2751,2009-06-30T17:53:21.103
18,1383,44527,2009-07-01T04:37:51.883
18,5212,5213,2008-10-23T00:44:08.573
18,7505,7506,2009-07-20T19:39:37.033
18,8231,8259,2009-07-22T19:43:11.043
18,11014,11015,2009-07-30T14:20:20.350
18,13198,43630,2009-08-07T21:53:05.143
18,14710,14718,2009-08-15T17:52:54.230
18,17878,17886,2009-01-08T09:02:46.117
18,19299,20103,2009-09-01T11:27:35.283
18,26382,44190,2009-10-18T17:36:04.053
18,32376,32383,2009-12-09T02:30:50.920
18,39450,39455,2010-02-14T21:33:57.370
18,40602,40716,2010-02-26T06:24:14.693
18,41391,41406,2010-03-06T14:09:14.343
18,42257,43033,2010-03-15T03:43:40.700
18,43683,43684,2010-03-23T16:07:15.650
18,46099,46123,2010-04-09T18:14:01.543
18,47482,47483,2010-04-22T14:52:05.267
18,48024,48029,2010-04-27T18:50:06.330
18,49012,49017,2010-05-06T17:52:46.460
18,49760,49765,2010-05-13T13:48:28.213
18,50961,51358,2010-05-23T23:33:52.143
18,54249,58927,2010-06-19T00:21:44.047
18,55668,55964,2010-07-02T01:02:21.050
18,57931,59022,2010-07-21T19:56:17.963
18,60597,60598,2010-08-11T20:53:26.123
18,60602,65590,2010-08-11T21:35:59.833
18,62830,62847,2010-08-30T18:45:51.450
18,64633,64642,2010-09-15T16:31:11.647
18,65604,65609,2010-09-24T21:13:12.470
18,67369,67392,2010-10-12T14:08:20.290
17,90,54293,2009-06-28T11:45:30.133
17,1306,2470,2009-06-30T20:24:19.743
17,1350,1369,2009-07-01T00:17:50.773
17,2307,2308,2009-07-04T00:40:15.237
17,3230,3340,2009-07-07T16:06:47.393
17,5551,65975,2009-07-15T10:50:50.710
17,7424,7425,2009-07-20T16:14:52.000
17,13193,13203,2009-08-07T20:47:24.233
17,16637,16638,2009-08-23T12:47:13.233
17,18759,18769,2009-08-29T17:24:42.750
17,23321,23326,2009-09-24T15:36:32.313
17,23826,23853,2009-09-29T12:25:51.563
17,27771,27853,2009-10-29T18:39:04.690
17,31088,52586,2009-11-26T19:26:51.513
17,34340,34341,2010-01-02T11:48:01.857
17,35193,35205,2010-01-11T21:19:17.980
17,45333,45352,2010-04-02T23:38:52.360
17,46793,46800,2010-04-15T22:19:51.243
17,47698,47712,2010-04-23T23:13:40.283
17,49704,49724,2010-05-12T16:39:22.923
17,51949,52217,2010-06-01T13:32:30.533
17,58317,62316,2010-07-24T00:21:28.787
17,58507,58517,2010-07-26T17:40:48.237
17,60582,60696,2010-08-11T18:08:52.950
17,60646,60708,2010-08-12T07:51:24.200
17,63772,63775,2010-09-07T19:36:32.810
17,67754,68264,2010-10-15T13:14:33.577
16,73,93,2009-06-28T11:15:37.520
16,116,180,2009-06-28T12:26:29.783
16,278,285,2009-06-28T17:34:31.040
16,354,2595,2009-06-28T21:18:17.727
16,1313,1314,2009-06-30T21:07:31.153
16,2931,4934,2009-07-06T20:29:37.670
16,3600,3602,2009-07-08T15:16:14.890
16,5052,5067,2009-07-14T09:18:33.900
16,6469,6471,2009-07-17T07:44:12.620
16,10647,10648,2009-07-29T06:56:52.357
16,13047,13064,2009-08-07T08:08:26.207
16,19021,20435,2009-08-31T10:01:19.807
16,21026,25564,2009-09-09T16:13:30.033
16,24964,24969,2009-10-07T21:27:49.463
16,24987,25096,2009-10-07T22:13:30.160
16,26159,29550,2009-10-16T12:56:53.890
16,29026,32703,2009-11-08T17:47:47.047
16,29414,34763,2009-11-12T09:36:34.727
16,32490,32515,2009-12-09T22:07:27.383
16,38547,38549,2010-02-06T18:16:46.277
16,39545,39565,2010-02-15T21:33:56.143
16,40742,40744,2010-02-28T14:13:01.123
16,42789,43565,2010-03-19T04:08:49.157
16,44063,44084,2010-03-25T21:04:04.190
16,45791,46306,2010-04-07T16:14:57.007
16,46173,46278,2010-04-10T12:19:55.570
16,48807,52767,2010-05-05T06:06:20.790
16,50067,52255,2010-05-16T11:40:14.573
16,51266,51366,2010-05-26T15:38:05.900
16,52764,52765,2010-06-07T05:09:52.457
16,53844,53879,2010-06-16T11:56:33.800
16,54070,54072,2010-06-17T21:59:08.627
16,56067,56074,2010-07-07T00:22:04.340
16,57855,57869,2010-07-21T09:18:34.137
16,59085,60279,2010-07-30T12:05:50.447
16,61103,61139,2010-08-15T17:00:49.960
16,63322,63333,2010-09-03T09:31:12.357
16,66537,66631,2010-10-04T06:30:48.143
15,112,4439,2009-06-28T12:19:48.053
15,469,15139,2009-06-29T07:46:13.990
15,614,619,2009-06-29T13:36:19.297
15,984,987,2009-06-30T08:34:12.743
15,1813,1816,2009-07-02T13:44:05.307
15,2040,2041,2009-07-03T00:55:49.263
15,3440,3442,2009-07-08T01:19:44.647
15,6643,6644,2009-07-17T18:00:36.063
15,8492,8495,2008-10-10T10:13:44.560
15,8584,8586,2009-07-23T18:20:00.110
15,10216,10222,2009-07-28T00:29:00.510
15,13390,13391,2008-10-14T19:32:04.700
15,14595,14621,2009-08-14T22:34:50.700
15,15239,15250,2009-08-18T20:11:13.280
15,16648,16649,2009-08-23T14:00:12.280
15,18669,18670,2009-02-06T01:59:14.970
15,22135,22147,2009-09-16T10:25:56.027
15,22447,22449,2009-09-17T17:41:55.987
15,23535,23544,2009-09-25T21:19:28.827
15,24400,24402,2009-10-02T18:02:39.380
15,24621,24678,2009-10-05T14:20:04.497
15,28450,28493,2009-11-03T19:30:13.363
15,30411,30555,2009-11-20T03:48:09.267
15,31752,31755,2009-12-04T00:20:02.940
15,33307,47573,2009-12-18T03:12:49.040
15,34616,34617,2010-01-05T21:58:34.393
15,34669,34670,2010-01-06T11:24:45.197
15,34739,34742,2010-01-06T23:15:33.580
15,35185,35187,2010-01-11T19:34:31.823
15,36591,36631,2010-01-22T12:43:29.160
15,36973,36988,2010-01-25T21:49:34.923
15,37369,37370,2010-01-28T20:38:34.573
15,37439,37440,2010-01-29T14:34:55.170
15,37597,53227,2010-01-30T22:27:53.683
15,38215,38681,2010-02-04T05:52:17.213
15,41644,41647,2010-03-09T16:54:35.323
15,44528,44530,2010-03-30T10:27:06.803
15,44590,44604,2010-03-30T21:22:01.230
15,47234,47253,2010-04-20T13:08:20.663
15,51498,51582,2010-05-27T20:21:46.267
15,53989,54003,2010-06-17T14:09:50.260
15,57390,57417,2010-07-16T12:34:32.533
15,57474,57701,2010-07-17T01:03:33.477
15,59556,59682,2010-08-04T11:31:42.993
15,62979,63413,2010-08-31T17:19:17.943
15,63684,63686,2010-09-07T08:08:52.590
15,64669,64793,2010-09-15T23:33:03.650
15,64930,66030,2010-09-18T08:15:43.200
15,65309,65369,2010-09-22T19:45:25.497
15,65398,65445,2010-09-23T14:34:15.097
15,67272,67362,2010-10-11T15:21:13.880
15,68281,69391,2010-10-22T07:10:39.777
14,334,335,2009-06-28T20:20:17.977
14,2785,2789,2009-07-06T14:48:57.263
14,4255,20953,2009-07-10T14:54:38.617
14,4708,4712,2009-07-13T12:22:29.403
14,5221,5222,2008-10-23T03:40:56.097
14,6460,6463,2009-07-17T06:23:49.170
14,6578,6581,2009-07-17T15:09:33.920
14,6982,7081,2009-07-18T22:04:33.160
14,13049,13051,2009-08-07T08:33:07.983
14,13085,13111,2009-08-07T13:36:51.857
14,14994,14999,2009-08-17T19:54:00.537
14,15699,15707,2009-08-20T16:11:26.120
14,15896,16016,2009-08-20T20:12:05.353
14,16681,50589,2009-08-23T19:07:16.023
14,20726,20730,2009-09-07T15:40:11.173
14,21897,67546,2009-09-15T11:11:11.377
14,22842,22879,2009-09-21T10:22:26.177
14,24920,24922,2009-10-07T19:51:31.003
14,30076,30154,2009-11-17T15:37:45.570
14,30419,30464,2009-11-20T08:21:07.433
14,32716,32734,2009-12-11T17:50:23.233
14,34760,34761,2010-01-07T07:22:18.110
14,35421,35423,2010-01-13T10:53:37.957
14,37260,37281,2010-01-28T04:26:47.160
14,37857,38331,2010-02-01T22:03:47.987
14,40403,43115,2010-02-24T06:19:21.787
14,40724,40725,2010-02-28T03:58:05.130
14,43603,43958,2010-03-22T21:51:02.173
14,44309,44313,2010-03-28T02:13:28.837
14,44985,44986,2010-04-01T11:05:58.963
14,46583,48571,2010-04-14T03:56:28.117
14,47509,47525,2010-04-22T18:07:50.337
14,48165,63291,2010-04-28T19:11:02.553
14,48447,49813,2010-04-30T20:10:16.907
14,49248,49950,2010-05-08T12:56:20.217
14,49544,49560,2010-05-11T10:59:52.200
14,52331,53004,2010-06-03T11:12:39.610
14,53030,54149,2010-06-09T07:35:25.227
14,53695,53696,2010-06-15T13:01:02.010
14,54230,54235,2010-06-18T21:42:09.963
14,54269,64899,2010-06-19T02:40:06.303
14,54633,54705,2010-06-22T19:16:41.353
14,55020,69390,2010-06-25T13:31:17.580
14,55079,55084,2010-06-26T01:37:06.413
14,55235,55237,2010-06-28T16:55:06.867
14,55930,56026,2010-07-05T14:57:00.720
14,59962,59976,2010-08-06T18:06:02.503
14,60297,60523,2010-08-10T08:55:34.857
14,61594,63986,2010-08-19T14:09:39.000
14,62120,62135,2010-08-24T17:19:54.043
14,62672,62685,2010-08-28T22:00:21.807
14,68024,68043,2010-10-19T09:23:40.133
13,55,64,2009-06-28T10:55:27.677
13,477,35920,2009-06-29T08:03:41.280
13,509,514,2009-06-29T10:08:33.647
13,599,602,2009-06-29T13:19:08.073
13,1672,1726,2009-07-02T02:38:41.380
13,1763,2264,2009-07-02T11:26:47.880
13,2038,2039,2009-07-03T00:51:52.533
13,3369,4203,2009-07-07T20:45:06.847
13,4128,4211,2009-07-09T23:29:51.140
13,5871,11724,2009-07-15T21:03:58.317
13,5999,7979,2009-07-16T06:48:12.863
13,7060,35700,2009-07-19T05:39:01.547
13,7753,10179,2009-07-21T13:33:22.040
13,10519,23570,2009-07-28T19:16:29.667
13,10994,10996,2009-07-30T14:09:03.557
13,11183,11219,2009-07-30T16:26:45.907
13,12543,12548,2009-08-05T04:08:46.170
13,15165,15167,2009-08-18T14:15:49.177
13,19392,19564,2009-09-01T18:59:40.783
13,20016,20017,2009-03-04T21:32:45.573
13,20397,20400,2009-09-04T23:53:13.553
13,20409,20412,2009-09-05T01:31:38.657
13,21037,21041,2009-09-09T17:56:27.647
13,21932,21933,2009-09-15T15:46:06.597
13,22654,22676,2009-09-18T20:09:14.793
13,23490,36486,2009-09-25T16:35:39.067
13,23624,23625,2009-09-27T01:11:22.500
13,23701,38759,2009-09-28T11:05:09.317
13,24017,24018,2009-09-30T14:47:12.630
13,24093,24106,2009-10-01T01:07:20.540
13,25275,25694,2009-10-09T10:54:37.647
13,25351,25356,2009-10-09T18:33:24.607
13,25803,25827,2009-10-14T11:11:49.233
13,26347,26348,2009-10-18T02:20:03.067
13,28080,29548,2009-11-01T22:42:04.123
13,28416,52486,2008-11-10T05:38:40.257
13,28924,36555,2009-11-07T02:11:01.253
13,31415,31416,2009-11-30T22:15:01.540
13,32712,33308,2009-12-11T17:22:34.283
13,33343,33344,2009-12-18T15:50:36.417
13,35744,35800,2010-01-15T13:14:33.987
13,35812,35816,2010-01-15T18:02:47.163
13,38289,38290,2010-02-04T18:22:05.743
13,39267,39291,2010-02-12T19:29:48.430
13,40011,45433,2010-02-19T21:51:34.033
13,40131,64693,2010-02-21T09:44:20.660
13,40971,42277,2010-03-03T03:33:46.897
13,41519,41556,2010-03-08T16:07:30.643
13,42404,46591,2010-03-16T14:26:36.857
13,42925,42926,2010-03-19T21:04:45.560
13,44469,44495,2010-03-29T20:13:42.647
13,46034,60010,2010-04-09T12:05:06.457
13,47320,49241,2010-04-21T01:25:39.300
13,47840,47841,2010-04-26T01:49:02.767
13,48023,48202,2010-04-27T18:34:15.837
13,51985,56654,2010-06-01T17:46:05.480
13,53048,53111,2010-06-09T10:46:26.717
13,53659,53821,2010-06-15T08:09:37.400
13,53852,53866,2010-06-16T13:32:37.343
13,55261,55262,2010-06-28T19:56:21.760
13,58270,58852,2010-07-23T16:08:30.283
13,59162,59165,2010-07-31T05:33:37.687
13,59674,59957,2010-08-04T21:12:55.843
13,60684,60712,2010-08-12T13:39:10.910
13,62669,62670,2010-08-28T20:44:18.743
13,63150,63163,2010-09-02T01:58:28.203
